POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LOCATION
600-04150,-,0,Grey,SS,N,N,SFMTA,ON,0,415,PACIFIC AVE,10120000,Area 2, ,"(37.79737, -122.40274)"
591-19170,-,0,Grey,SS,N,N,SFMTA,ON,0,1917,OCEAN AVE,9831101,Area 3, ,"(37.72538, -122.46279)"
569-18150,-,0,Grey,SS,N,N,SFMTA,ON,0,1815,MARKET ST,8760102,Area 3, ,"(37.77108, -122.42419)"
569-22330,-,0,Grey,SS,N,N,SFMTA,ON,0,2233,MARKET ST,8766101,Area 3, ,"(37.76504, -122.43183)"
667-01150,-,0,Grey,SS,N,N,SFMTA,ON,0,115,SOUTH VAN NESS AVE,12016101,Area 3, ,"(37.77248, -122.41827)"
470-13400,-,0,Grey,SS,N,N,SFMTA,ON,0,1340,HOWARD ST,7055000,Area 2, ,"(37.7743, -122.41418)"
664-10160,664-10060,7,Yellow,MS,N,N,SFMTA,ON,0,1016,STOCKTON ST,12206000,Area 2, ,"(37.79545, -122.40809)"
470-12290,-,0,Grey,SS,N,N,SFMTA,ON,0,1229,HOWARD ST,7051000,Area 2, ,"(37.77558, -122.41227)"
571-09230,-,0,Grey,SS,N,N,SFMTA,ON,0,923,MONTGOMERY ST,9310000,Area 2, ,"(37.79802, -122.40388)"
355-17180,-,0,Green,SS,N,N,SFMTA,ON,0,1718,CHURCH ST,4037000,Area 3, ,"(37.74321, -122.42671)"
224-28650,-,0,Grey,SS,N,N,SFMTA,ON,0,2865,24TH ST,1333000,Area 3, ,"(37.7527, -122.40972)"
440-37230,-,0,Grey,SS,N,Y,SFMTA,ON,0,3723,GEARY BLVD,6057101,Area 3, ,"(37.78109, -122.45975)"
575-04220,-,0,Grey,SS,N,N,SFMTA,ON,0,422,MAPLE ST,8682000,Area 3, ,"(37.78676, -122.45525)"
440-39130,-,0,Grey,SS,N,Y,SFMTA,ON,0,3913,GEARY BLVD,6059101,Area 3, ,"(37.78101, -122.46158)"
359-16520,-,0,Grey,SS,N,N,SFMTA,ON,0,1652,CLAY ST,4105000,Area 3, ,"(37.79249, -122.42064)"
680-14070,-,0,Grey,SS,N,N,SFMTA,ON,0,1407,TARAVAL ST,12400000,Area 3, ,"(37.74272, -122.48138)"
680-10050,-,0,Green,SS,N,N,SFMTA,ON,0,1005,TARAVAL ST,12396000,Area 3, ,"(37.74291, -122.47703)"
680-12010,-,0,Yellow,SS,N,N,SFMTA,ON,0,1201,TARAVAL ST,12398000,Area 3, ,"(37.74282, -122.47904)"
471-14110,-,0,Grey,SS,N,N,SFMTA,ON,0,1411,HARRISON ST,6736000,Area 3, ,"(37.77128, -122.41149)"
440-61210,-,0,Grey,SS,N,N,SFMTA,ON,0,6121,GEARY BLVD,6082101,Area 3, ,"(37.77992, -122.48545)"
412-01130,-,0,Yellow,SS,N,N,SFMTA,ON,0,113,FERN ST,5483000,Area 3, ,"(37.78813, -122.4207)"
573-00390,-,0,Grey,SS,N,N,SFMTA,ON,0,39,MYRTLE ST,9471000,Area 3, ,"(37.78546, -122.41921)"
591-26620,-,0,Grey,SS,N,N,SFMTA,ON,0,2662,OCEAN AVE,9849000,Area 3, ,"(37.73242, -122.47467)"
331-16230,-,0,Grey,SS,N,N,SFMTA,ON,0,1623,BRYANT ST,3304000,Area 3, ,"(37.76626, -122.41046)"
614-05340,-,0,Grey,SS,N,N,SFMTA,ON,0,534,POST ST,10630000,Area 1, ,"(37.78797, -122.41133)"
681-06140,-,0,Grey,SS,N,N,SFMTA,ON,0,614,TAYLOR ST,12435000,Area 1, ,"(37.78834, -122.41172)"
356-33540,-,0,Grey,SS,N,N,SFMTA,ON,0,3354,CESAR CHAVEZ ST,2488201,Area 3, ,"(37.74827, -122.41793)"
324-10190,-,0,Grey,SS,N,N,SFMTA,ON,0,1019,BATTERY ST,2766000,Area 3, ,"(37.80098, -122.40161)"
327-00620,-,0,Grey,SS,N,N,SFMTA,ON,0,62,BROADWAY,3143000,Area 3, ,"(37.79889, -122.39923)"
444-14130,-,0,Grey,SS,N,N,SFMTA,ON,0,1413,GRANT AVE,6404000,Area 3, ,"(37.80018, -122.40754)"
844-00020,-,0,Grey,SS,Y,Y,PORT,ON,0,2,HOWARD ST,7027000,Port 8, ,"(37.79225, -122.39146)"
903-00250,-,0,Grey,SS,N,N,SFMTA,OFF,903,324,08TH AVE,389000,Area 3, ,"(37.78229, -122.46619)"
920-00150,-,0,Grey,SS,N,N,SFMTA,OFF,920,993,POTRERO AVE,10667101,Area 3, ,"(37.7579, -122.40609)"
107-12990,-,0,Grey,SS,N,N,SFMTA,ON,0,1299,07TH AVE,359000,Area 3, ,"(37.76426, -122.46426)"
121-13020,-,0,Green,SS,N,N,SFMTA,ON,0,1302,21ST AVE,1080000,Area 3, ,"(37.76334, -122.47917)"
490-22110,-,0,Grey,SS,N,N,SFMTA,ON,0,2211,IRVING ST,7300000,Area 3, ,"(37.76329, -122.48175)"
490-23030,-,0,Grey,SS,N,N,SFMTA,ON,0,2303,IRVING ST,7301000,Area 3, ,"(37.76325, -122.48265)"
136-06670,-,0,Grey,SS,N,N,SFMTA,ON,0,667,36TH AVE,1792000,Area 3, ,"(37.77589, -122.49632)"
472-09010,-,0,Yellow,SS,N,N,SFMTA,ON,0,901,HYDE ST,7124000,Area 3, ,"(37.78923, -122.41712)"
490-06200,-,0,Grey,SS,N,N,SFMTA,ON,0,620,IRVING ST,7284000,Area 3, ,"(37.76418, -122.46495)"
