Stop_ID,Latitude,Longitude
3183,37.77400048,122.4642064
3184,37.78084021,122.464247
3185,37.78071381,122.4643954
3187,37.77739375,122.4043613
3188,37.75663656,122.4637164
3189,37.75673305,122.4636746
3191,37.77324691,122.4033993
3192,37.77670895,122.4077384
3193,37.77575064,122.4064779
3194,37.77789926,122.4092395
3195,37.77912621,122.4108398
3196,37.78034874,122.41244
3197,37.77200442,122.4019203
3200,37.77493941,122.4658076
3201,37.77365259,122.4659209
3202,37.7734881,122.4659383
3203,37.77150624,122.4059066
3204,37.77257452,122.4072218
3205,37.7747786,122.4099455
3206,37.77349247,122.4083628
3208,37.77723301,122.4130013
3209,37.77849617,122.4144953
3210,37.77017181,122.4041105
3211,37.76426357,122.4662989
3212,37.76380588,122.4660865
3213,37.76380409,122.4663666
3214,37.76198711,122.466128
3215,37.76191156,122.4661969
3216,37.76046618,122.466106
3217,37.76018123,122.4660398
3218,37.75860622,122.4659821
3219,37.75830788,122.4659046
3220,37.76575035,122.4664099
3221,37.76569029,122.4664879
3222,37.75671932,122.4658535
3223,37.75648481,122.4657776
3224,37.75486263,122.4657291
3225,37.75461875,122.4656393
3226,37.75303319,122.4656384
3229,37.8244,122.37261
3230,37.75267308,122.4664375
3231,37.75090038,122.4664528
3232,37.75070994,122.466502
3233,37.74950181,122.466414
3234,37.74922145,122.4664655
3235,37.76991176,122.4113438
3236,37.77210484,122.4142556
3237,37.77163644,122.4138273
3238,37.77084744,122.4126493
3239,37.77037291,122.412241
3240,37.77330462,122.4157375
3241,37.77284076,122.4153141
3242,37.77455458,122.417359
3243,37.77401518,122.4167749
3244,37.77549744,122.4184404
3245,37.77537871,122.4182184
3247,37.74876691,122.4707131
3248,37.74499727,122.4704024
3249,37.74348143,122.4702869
3250,37.74314364,122.4702282
3251,37.74177394,122.4699667
3252,37.74168,122.4700134
3253,37.7671558,122.4372414
3254,37.7677572,122.4293236
3255,37.76768167,122.4292658
3256,37.7673272,122.4358292
3257,37.76732479,122.4358088
3258,37.767485,122.4332678
3259,37.76746667,122.4335665
3260,37.7676202,122.4310908
3261,37.76760229,122.4313196
3262,37.75416429,122.4722025
3263,37.75266179,122.4720289
3264,37.75083179,122.4719254
